"","ENSG00000007968.7","ENSG00000080839.12","ENSG00000096968.14","ENSG00000101412.13","ENSG00000103479.16","ENSG00000105173.14","ENSG00000105810.10","ENSG00000110092.4","ENSG00000111276.11","ENSG00000112242.15","ENSG00000115415.20","ENSG00000118971.9","ENSG00000123374.11","ENSG00000124762.14","ENSG00000126561.17","ENSG00000129173.13","ENSG00000133101.10","ENSG00000133740.11","ENSG00000134057.15","ENSG00000135446.17","ENSG00000136997.21","ENSG00000139687.16","ENSG00000147883.12","ENSG00000147889.18","ENSG00000162434.13","ENSG00000164045.12","ENSG00000165891.16","ENSG00000168610.16","ENSG00000169016.17","ENSG00000170312.16","ENSG00000170581.14","ENSG00000173757.10","ENSG00000197122.12","ENSG00000205250.9"
"TCGA-05-4403-01A-01R-1206-07",247,423,2530,773,5943,139,2850,17388,5710,1030,20824,1721,1107,24682,2980,130,38,350,1423,4467,6117,6493,1091,99,17569,272,137,21810,731,1456,6392,4881,12139,4943
"TCGA-44-2662-01A-01R-0946-07",572,1443,2170,2705,5569,10942,2658,7649,3065,1869,17412,1009,1868,5164,3423,863,4,459,7125,4790,4900,3415,2013,2832,22643,616,346,23569,729,3371,8077,3684,10077,5782
"TCGA-99-AA5R-01A-11R-A39D-07",127,381,1361,507,3429,93,1236,6320,3989,587,10384,2575,964,4443,2642,66,6,282,317,1252,2276,1901,1305,133,9116,81,37,11421,396,299,6441,4478,3371,2697
"TCGA-73-4659-01A-01R-1206-07",952,1417,3524,2508,6595,672,1191,26799,8359,2785,18030,2654,1907,13223,2307,513,60,1625,7691,7650,5296,4458,1651,90,13939,1054,217,42867,1655,3120,10752,4652,11008,7865
"TCGA-05-4415-01A-22R-1858-07",739,664,572,651,1520,1599,3207,4244,2325,2533,39819,634,2242,5803,1351,207,52,1304,6595,3053,6975,4009,2314,1483,11565,744,363,16906,1270,3276,7778,4171,865,3661
"TCGA-50-8457-01A-11R-2326-07",77,448,999,173,5438,112,741,9262,5172,913,13340,1379,859,4995,2818,33,20,438,432,2145,1505,3073,1176,809,12174,28,20,21713,472,265,6250,5512,4382,2745
"TCGA-75-5147-01A-01R-1628-07",384,1096,1177,1852,2769,2294,1157,2356,3289,1840,32750,1008,2622,15663,2376,854,54,1163,3946,7423,1743,2064,5109,5136,10070,362,335,20695,1112,3502,10982,2957,4398,6230
"TCGA-55-8507-01A-11R-2403-07",335,747,400,1999,2367,602,388,5903,1894,1659,9467,1536,1415,4654,1202,360,10,826,2492,2074,1933,1841,864,90,5255,257,153,16883,520,1119,6236,3406,5532,3161
"TCGA-78-7536-01A-11R-2066-07",652,3473,922,5570,4805,913,4954,15220,7891,2817,39594,1307,4743,3911,1613,2082,6,2679,4165,7056,1979,3171,740,1640,10337,1048,1335,42958,1366,9339,11041,4518,12191,4165
"TCGA-95-A4VK-01A-11R-A262-07",329,548,848,1026,3194,441,705,20128,3257,1154,20012,900,985,6201,1450,533,13,494,906,1518,922,2025,200,39,10474,200,152,23504,772,677,11788,3187,5317,3074
"TCGA-38-4627-01A-01R-1206-07",88,226,1503,427,5099,186,2412,11333,4776,1133,21435,2779,1094,12908,2682,187,233,246,1226,3768,2524,4941,2613,540,10560,125,102,19343,542,799,6307,4568,4050,3761
"TCGA-67-6215-01A-11R-1755-07",341,472,726,1705,9662,266,522,32315,4996,1787,14604,1102,2068,9155,1729,771,22,555,2192,3651,2456,3657,995,161,13725,315,142,48324,784,1562,6507,4726,4468,6291
"TCGA-69-7973-01A-11R-2187-07",858,1419,2075,1534,5960,818,1411,30440,7809,2900,27756,1176,1960,6849,1199,752,10,1616,6310,6768,4724,3943,1084,63,11639,472,242,36842,1089,3779,12206,5153,6432,5057
"TCGA-05-5715-01A-01R-1628-07",150,202,320,290,1644,122,279,7669,1746,444,6003,543,552,4347,1164,185,6,165,469,1438,467,1457,281,23,5984,62,29,14813,401,364,2447,1968,2419,1506
"TCGA-75-7030-01A-11R-1949-07",35,150,719,106,1658,54,1385,5853,1587,490,5093,1466,407,7704,981,19,83,126,158,816,1370,1255,2773,165,6235,29,159,8758,204,160,2845,1625,2325,1310
"TCGA-44-2666-01A-01R-0946-07",258,751,1267,2056,6178,442,522,11672,3147,1660,24946,1073,1579,10340,1732,293,10,848,1176,4159,11111,5247,1274,312,12444,195,294,20486,584,1774,8519,2640,6676,4115
"TCGA-62-A472-01A-11R-A24H-07",273,395,418,434,1185,161,682,6993,1652,550,12708,1378,715,717,595,260,0,783,1412,1192,2072,1003,202,56,3639,241,39,5044,334,1440,4576,1454,1811,1734
"TCGA-55-6985-01A-11R-1949-07",271,304,749,467,1813,171,1455,14096,2660,1079,17877,1654,752,6231,1353,303,219,248,998,1111,1939,1490,330,36,6769,161,99,11655,361,1077,4060,1738,2296,1975
"TCGA-44-2666-01B-02R-A277-07",72,542,1575,218,3912,54,1659,3982,1238,768,11581,2050,416,994,551,138,7,452,166,431,1635,3301,488,94,5494,52,117,7118,290,371,4187,1225,1283,704
"TCGA-J2-A4AG-01A-11R-A24H-07",145,326,740,419,2296,131,406,8585,4130,1519,9908,1453,755,7442,1868,90,25,347,711,1534,2108,1631,700,226,8746,55,46,15229,542,351,5352,3459,3594,1823
"TCGA-97-A4LX-01A-11R-A24X-07",547,625,1815,835,4521,238,1630,9225,3715,1683,32772,3318,943,3896,3476,276,113,1047,1571,2152,2092,3039,733,280,12489,150,174,13920,505,840,12575,4137,8934,3952
"TCGA-55-6543-01A-11R-1755-07",71,364,1060,425,2532,82,4275,16918,2003,716,8733,1813,538,9208,1182,143,10,286,726,1480,2064,1182,768,183,8247,80,220,17443,464,443,3484,2283,1658,2129
"TCGA-97-7938-01A-11R-2170-07",62,367,632,181,3634,71,1473,7079,1465,843,9905,1116,662,11631,828,35,2,620,337,1414,4112,1867,2206,314,8696,64,35,17360,391,300,4620,2592,3298,1689
"TCGA-35-3615-01A-01R-0946-07",109,261,1091,318,6029,54,519,10415,3462,2654,15057,934,791,7410,1175,81,23,1297,1542,5947,3488,3582,2835,954,7083,59,27,27319,1084,516,7779,3252,5012,4060
"TCGA-44-2657-11A-01R-1758-07",385,341,1202,527,3581,118,1256,6253,3455,631,10244,3431,730,8360,3539,146,30,330,818,1829,2847,2113,2435,118,10949,131,55,15851,317,559,4346,4092,2854,3007
"TCGA-55-8505-01A-11R-2403-07",220,435,450,759,1558,597,963,9521,2076,1478,7042,1491,1023,7494,1515,333,32,199,1451,1466,1187,1338,282,28,9721,371,282,13269,718,939,4772,1881,8546,2977
"TCGA-44-2657-01A-01R-1107-07",279,398,822,469,3002,184,674,6417,2651,823,18320,1553,507,2372,1923,198,11,463,689,9228,934,2135,523,713,7883,108,74,8062,363,633,4628,2430,1945,3145
"TCGA-97-8175-01A-11R-2287-07",294,887,1341,1026,3954,642,676,20512,4020,1934,22477,1380,1807,12048,1992,947,6,502,1932,5874,2432,4977,2507,177,9939,352,165,16675,710,1574,8649,2579,8059,4692
"TCGA-49-4510-01A-01R-1206-07",73,476,1137,495,6722,166,1032,11224,6521,1523,8181,1011,2751,7250,1616,95,50,1462,1196,7656,4593,2853,548,261,10245,67,19,27836,916,368,13830,4981,4806,2921
"TCGA-MP-A4TK-01A-11R-A24X-07",239,675,817,1191,2472,176,1019,32830,3294,1077,9437,1600,802,6443,1772,321,61,304,1793,12891,2735,1538,1255,1373,8483,234,386,10543,580,1909,6023,3017,3181,3276
"TCGA-50-5044-01A-21R-1858-07",112,302,430,533,377,406,1577,10745,801,687,6929,1197,683,20786,445,53,197,123,2126,776,933,1167,628,1131,4562,452,508,4344,222,1334,2337,744,2654,2107
"TCGA-49-AAR2-01A-11R-A39D-07",663,535,243,1883,1104,494,806,4876,1905,1154,7158,1009,926,1790,1090,306,77,445,965,753,1277,921,102,198,2608,162,138,8852,1044,1751,6190,2167,5649,3690
"TCGA-44-2665-01A-01R-0946-07",169,629,1332,396,8330,202,2401,5500,2892,950,9963,4223,1246,10643,1620,374,112,645,1631,4105,3375,3561,486,69,7723,94,203,15633,323,1065,7893,2794,2474,5682
"TCGA-05-4250-01A-01R-1107-07",191,1826,1157,2420,5566,1661,2957,23224,3692,1573,41832,1196,2195,12377,2454,1087,97,999,6670,6251,16180,4214,816,1534,11570,492,686,17703,1145,4598,7011,6237,8144,5400
"TCGA-44-3398-11B-01R-1758-07",133,590,2144,492,6272,56,2958,15981,5583,689,17302,6785,996,11264,4202,70,252,339,356,2249,4758,3326,3477,181,16037,42,61,23006,651,326,6251,6996,4881,3422
"TCGA-97-7937-01A-11R-2170-07",302,1241,479,1165,2636,157,1551,34603,4025,1593,9838,723,1267,1687,518,689,3,656,1348,1616,2420,2781,1662,166,10224,199,292,16835,540,990,7306,968,4844,4626
"TCGA-64-5774-01A-01R-1628-07",441,748,383,1836,2012,371,740,21104,4005,2100,9667,690,1187,4089,1176,580,9,639,4261,3092,819,1453,639,124,5509,287,348,15941,993,2009,3440,5623,4488,2800
"TCGA-86-8674-01A-21R-2403-07",116,138,320,471,1025,126,124,2316,413,1470,5705,347,620,4207,546,226,11,507,1751,956,1880,1332,2106,462,3060,98,25,23616,368,459,3715,1648,6223,2155
"TCGA-50-6590-01A-12R-1858-07",340,1271,1229,1109,2408,566,7245,9529,2666,2049,49845,2329,1329,4122,2314,335,441,360,3759,3441,7840,2520,2165,2782,7291,991,401,9396,641,1795,4690,2558,4357,3044
"TCGA-64-5779-01A-01R-1628-07",500,676,722,721,4455,101,1556,4336,2390,772,8804,973,1128,2295,818,342,4,894,1233,2193,786,1890,340,35,4998,214,121,9028,333,719,5673,2332,1516,2896
"TCGA-75-5146-01A-01R-1628-07",73,272,693,238,3356,50,692,9041,3771,372,4890,380,932,878,854,81,24,395,353,2458,1195,1746,702,521,5076,46,11,13360,735,542,2787,1747,842,1858
"TCGA-44-6144-11A-01R-1755-07",62,294,1666,478,3364,50,1262,19077,2886,376,12904,2873,640,4611,2249,12,7,174,176,1319,708,2521,2470,38,9355,55,21,15156,307,254,4190,3190,2663,2236
"TCGA-78-8662-01A-11R-2403-07",194,246,113,1906,781,110,556,1525,2043,1280,1907,214,1069,4338,230,504,0,319,2225,1445,425,1158,251,51,2169,357,77,4348,620,2238,5802,738,5005,2048
"TCGA-91-6829-11A-01R-1858-07",105,381,1453,404,2427,111,717,8063,2012,629,6456,2965,519,5244,3516,59,58,129,245,869,530,1778,1206,71,6769,107,50,10012,307,233,5055,2493,3757,2177
"TCGA-55-7911-01A-11R-2170-07",438,924,1372,1201,3109,245,524,28398,7115,1526,50782,2155,975,5971,1462,505,7,582,3189,2045,5135,3255,1280,492,6799,250,108,17975,707,2267,12339,3988,3514,2948
"TCGA-86-8585-01A-11R-2403-07",272,464,510,978,3057,671,1006,8634,2980,747,9081,1008,888,2121,1370,244,2,560,2045,1176,624,1439,1917,2463,4132,233,63,7952,366,1262,4638,2447,1964,2796
"TCGA-49-6744-11A-01R-1858-07",28,302,1598,160,4421,27,1317,6719,3162,421,5901,3400,529,3754,1717,8,45,130,113,924,1055,2821,2395,69,11157,18,15,15736,345,177,3439,3633,1796,1525
"TCGA-38-A44F-01A-11R-A24H-07",124,311,1434,328,1980,160,1474,8085,3092,642,13575,2849,818,9872,2426,98,182,326,422,975,1564,1859,669,103,8014,108,270,8260,365,477,6987,2627,4723,2428
"TCGA-64-1680-01A-02R-0946-07",88,144,303,231,3151,111,140,4564,2619,726,3138,594,586,3936,639,69,63,465,809,2379,1468,1631,145,196,3669,104,20,11489,564,617,2111,1141,1310,2183
"TCGA-97-A4M6-01A-11R-A24X-07",258,449,980,510,4067,103,786,4244,2765,1178,20088,1896,1311,4319,2333,188,21,290,734,2224,1145,1049,539,50,8649,104,147,15862,710,697,20811,3921,8625,4287
"TCGA-75-6214-01A-41R-1949-07",1185,1667,1498,2153,5687,784,6345,27068,3712,1449,33244,641,1391,14415,2346,1069,218,324,5159,3656,11232,6551,58,16,11751,458,1188,19236,1399,4768,12518,2315,8484,3987
"TCGA-55-6980-11A-01R-1949-07",23,192,969,227,2339,23,892,4782,2066,187,5894,1736,401,1326,1412,23,78,114,114,625,449,1138,913,16,4989,35,5,8529,214,100,3156,2505,1797,1216
"TCGA-97-7553-01A-21R-2039-07",499,1033,1883,1450,4848,240,1383,9506,3411,2247,18708,4009,1197,7215,3765,217,73,373,1136,2121,1918,3328,2359,792,12704,296,218,21377,551,1401,7911,4495,4674,3376
"TCGA-55-A48X-01A-11R-A24H-07",324,458,934,702,4136,217,988,15384,2736,1788,15882,1806,701,5784,2053,198,63,377,1056,1388,1328,2544,1385,1532,10603,98,147,16879,520,651,6799,3248,4573,3057
"TCGA-64-1677-01A-01R-0946-07",148,464,371,516,627,105,488,1727,1710,953,9474,436,879,1226,359,122,18,368,2215,2118,1854,906,545,2236,1272,292,149,4792,353,2042,2980,1193,872,1177
"TCGA-73-7498-01A-12R-2187-07",124,392,1565,841,11017,68,2274,21207,4954,1521,11302,3438,1066,8201,1965,252,9,1282,604,2348,1511,3518,2791,757,13915,53,43,24146,1133,326,12278,7601,7404,5778
"TCGA-38-6178-01A-11R-1755-07",173,318,359,235,2129,122,1670,4335,1213,1633,13348,622,550,2398,845,179,8,308,676,1380,811,550,807,9,4818,81,38,10974,551,399,4603,1360,2006,2594
"TCGA-44-7670-01A-11R-2066-07",1036,1589,827,2960,3890,958,75574,5733,2716,4045,36537,7152,5100,14780,1833,1410,108,333,4764,15593,5752,2203,2751,19,14560,903,1012,21708,1819,3798,12168,4075,15856,5110
"TCGA-62-A471-01A-12R-A24H-07",645,886,380,1535,1772,892,1601,3655,2877,1862,16253,722,1582,5390,1219,578,148,349,3593,1827,2761,1223,185,15,6733,503,239,15599,593,2987,10314,3037,10398,2915
"TCGA-49-4505-01A-01R-1206-07",224,582,1252,586,5437,274,1217,19283,4808,2517,32760,3547,1644,14164,2445,85,27,690,897,4379,6821,3523,2728,2938,14962,141,29,24727,1057,1335,7052,4182,5907,5885
"TCGA-NJ-A7XG-01A-12R-A39D-07",37,270,344,409,6618,76,885,14696,3762,1199,7303,1696,926,6837,923,87,3,732,546,1958,1242,1205,40,25,7114,31,19,17269,569,250,4836,2920,4425,5454
"TCGA-55-6981-11A-01R-1949-07",24,210,1074,192,2340,12,1316,3908,1423,294,4419,2271,461,3967,1393,20,48,114,133,641,1495,1494,1316,30,6096,23,25,9245,215,170,3257,2397,1775,1359
"TCGA-91-6848-01A-11R-1949-07",519,668,924,1293,2009,353,5711,4866,1064,2147,12975,3175,1125,3041,1947,437,1126,167,2681,3146,1616,2225,376,2598,10203,532,1144,6247,584,2140,3341,2343,1943,3743
"TCGA-55-8090-01A-11R-2241-07",487,807,946,1541,5613,248,1567,95820,6505,1749,23507,1690,1816,20169,2146,632,13,468,2795,4630,3441,3206,1156,76,17277,319,202,19279,728,1733,10272,4600,4815,4944
"TCGA-55-7725-01A-11R-2170-07",85,258,742,99,2008,73,308,4776,1664,519,11243,902,484,873,831,51,16,455,337,734,2723,1730,257,62,5598,43,40,6025,228,444,3663,1473,1444,830
"TCGA-55-8207-01A-11R-2241-07",80,621,1390,346,6500,139,1310,37455,5802,1505,12808,1366,739,13366,2088,46,52,333,456,2678,2306,3720,1060,488,16398,41,43,22600,485,353,6782,5518,5708,3733
"TCGA-44-6146-01A-11R-A278-07",62,225,971,134,3549,61,2997,7721,2097,228,5978,866,445,3221,948,47,1,121,132,583,1050,1142,1389,17,9747,78,44,11962,343,261,3130,1530,4507,1540
"TCGA-05-4434-01A-01R-1206-07",1062,928,2269,1875,6933,916,2689,14796,6195,3042,56013,2937,5246,17013,5194,543,174,873,7861,6922,11449,5401,1845,110,24525,728,584,34002,1368,4180,19078,6649,10185,9593
"TCGA-55-6979-01A-11R-1949-07",276,784,1658,1033,1604,974,1096,4256,1686,1086,28767,1795,752,3490,2142,300,20,208,1338,1265,1415,1459,2908,2625,6282,240,111,11802,376,1568,5927,2194,2912,1857
"TCGA-05-4427-01A-21R-1858-07",366,802,902,913,2670,5454,439,2825,4321,2698,32800,852,1395,5002,1244,507,3,398,1667,2630,3031,3997,2063,5120,7772,236,319,15541,493,1521,6771,3694,4047,2264
"TCGA-55-8615-01A-11R-2403-07",177,470,228,744,3016,191,150,11056,2069,1507,5821,325,758,7740,628,421,2,466,1260,2543,688,724,448,471,3339,198,126,10453,518,1156,9966,2008,4958,3608
"TCGA-50-5939-01A-11R-1628-07",228,418,626,595,2069,142,1961,6145,1248,1456,14011,1121,684,5400,1248,175,17,227,1617,1743,7111,1424,1364,1073,7050,154,117,12112,574,722,3272,2379,3193,2409
"TCGA-05-4418-01A-01R-1206-07",371,763,995,1060,3164,1794,1735,5779,6682,1362,49184,1433,2482,13455,1850,740,29,1079,5917,4737,3056,3903,391,47,11256,488,261,27698,1270,3582,17863,3971,4599,5690
"TCGA-67-6217-01A-11R-1755-07",77,266,767,207,5570,51,495,16359,1896,924,16135,1261,390,3513,1286,58,14,221,273,1434,1054,1701,644,417,9822,24,37,12233,376,222,4351,2291,2439,2778
"TCGA-49-6745-01A-11R-1858-07",371,770,1042,642,2789,269,2091,16390,2293,1253,34376,1600,1357,15682,1563,601,26,390,2820,7412,6214,3090,1358,540,10435,301,247,16790,637,1894,5079,3018,3377,2817
"TCGA-49-6745-11A-01R-1858-07",33,214,1008,248,2792,20,1010,7512,3501,170,9967,2042,575,4012,1124,45,412,235,315,1640,1143,2166,1978,60,4695,35,27,9306,335,402,2205,2151,1230,1535
"TCGA-55-1595-01A-01R-0946-07",576,782,1477,2361,7827,303,834,116724,10611,3052,20309,2200,2599,9645,2000,533,8,783,2985,5208,7803,3540,1241,152,12218,437,369,53085,1011,2065,16185,6330,6765,4112
"TCGA-49-6742-11A-01R-1858-07",71,253,784,467,3415,54,853,14982,2325,470,6194,5151,605,11110,1708,63,259,202,294,1262,4312,1813,2075,64,9100,105,40,14335,406,348,2812,2517,2056,1681
"TCGA-44-2661-11A-01R-1758-07",76,357,1395,372,4285,43,2650,14173,3351,673,11851,5750,886,7079,3394,35,34,207,352,1883,1845,2538,4941,110,12427,49,24,18252,458,317,5620,5262,4300,2875
"TCGA-44-6776-01A-11R-1858-07",50,136,695,261,2255,35,477,7579,1273,495,3857,517,392,4434,703,54,6,246,251,1118,372,1469,809,174,6971,26,15,18657,480,178,2754,2059,2796,1922
"TCGA-44-6146-01B-04R-A277-07",29,414,2099,26,5066,31,6137,6292,1627,493,5273,2908,424,1832,473,47,4,332,64,170,523,2926,2671,72,8777,32,56,7107,365,194,2463,1358,1910,647
"TCGA-05-4402-01A-01R-1206-07",741,780,1597,1562,4278,330,2685,25409,7733,2736,53963,5844,2716,16400,2161,1014,52,1013,3412,6830,2136,4630,279,41,19616,453,344,44813,1333,2555,16227,3511,6562,5207
"TCGA-05-4382-01A-01R-1206-07",560,1228,2522,2969,7981,502,2574,29990,4790,2787,37713,3842,2479,15722,4879,416,11,609,2728,7020,2240,5209,2965,2072,16616,334,319,38407,1286,1941,14824,7358,13790,6103
"TCGA-55-7576-01A-11R-2066-07",863,1825,1472,2193,5787,759,813,70912,8741,2983,38633,1702,2206,6446,2226,1052,19,708,2872,4503,7789,3319,1232,530,16146,575,375,30803,2241,3098,13121,5415,9245,5214
"TCGA-44-3917-01B-02R-A277-07",187,1606,1345,183,2838,118,15532,8415,1270,1672,13960,1988,559,1008,360,438,0,1940,911,557,1429,3555,254,18,3757,237,121,8751,788,1934,3205,1362,1072,1193
"TCGA-50-5939-11A-01R-1628-07",26,263,1517,260,3746,15,1985,10482,2093,402,7332,3475,573,11316,1700,6,15,139,106,998,5074,2374,2756,82,8811,37,17,14539,353,182,3029,3569,2016,1789
"TCGA-67-3773-01A-01R-0946-07",30,93,499,113,1668,39,181,4712,2387,515,8957,360,372,4891,866,20,3,169,364,2007,1212,1750,557,1045,4002,65,106,7780,275,666,2652,1134,1078,1620
"TCGA-78-7633-01A-11R-2066-07",273,509,1112,1918,8317,109,940,12309,6422,2480,10893,749,1019,3102,870,251,2,633,1626,2468,3402,4810,1492,98,15057,198,53,43233,1685,671,7864,6656,6364,3065
"TCGA-55-6981-01A-11R-1949-07",111,317,315,456,1671,249,1024,13149,1293,759,4932,568,404,1892,497,321,2,208,556,951,958,816,1991,1614,5373,134,35,9308,415,513,2918,1029,1279,1764
"TCGA-50-6597-01A-11R-1858-07",122,226,426,319,486,136,147,4754,745,506,9113,1062,499,2719,615,21,6,83,510,939,97,286,699,951,2604,68,8,7203,324,589,6092,1319,1589,1251
"TCGA-44-2659-01A-01R-0946-07",251,486,1302,425,6261,130,1993,36336,5327,2256,33475,2958,1007,3275,2557,205,25,702,874,2438,2197,3748,1416,533,17506,140,138,27202,666,685,10995,4471,4688,4270
"TCGA-44-2655-11A-01R-1758-07",106,551,2384,505,6193,44,3440,22624,5816,604,14564,4359,1245,7466,3848,47,242,275,342,2769,5250,4458,7502,158,18768,114,55,26525,650,400,6528,7837,5044,4071
"TCGA-95-7947-01A-11R-2187-07",1163,1590,1704,3880,4073,1369,1277,1483,3931,2542,23414,1207,2367,6135,2599,1552,16,349,1652,3523,507,1102,11461,5569,12730,458,691,24754,823,13665,9581,3294,2284,3197
"TCGA-55-7724-01A-11R-2170-07",177,531,613,113,1708,52,2033,5103,1233,482,10988,2188,615,2261,720,139,77,150,737,1045,1468,1952,1970,232,6386,127,264,6960,350,1138,3785,1370,1005,558
"TCGA-44-6146-11A-01R-1858-07",33,302,1423,222,3398,19,1148,7505,2554,364,8051,2994,524,5967,1721,12,11,157,133,829,2216,1669,1825,24,7849,22,18,11232,241,126,3318,3283,2074,1585
"TCGA-44-6146-01A-11R-1755-07",114,306,1145,241,6917,113,2674,11970,2984,529,9530,713,840,9585,2044,124,4,245,260,1602,1691,3005,2540,10,17144,110,75,20645,526,476,5441,2931,15698,3762
"TCGA-J2-A4AD-01A-11R-A24H-07",555,653,588,2259,5544,223,2032,31487,4659,1804,12187,729,1363,7006,748,584,16,759,1868,1918,1362,2245,3470,2387,11150,273,231,11494,639,2258,9805,2541,4597,3684
"TCGA-55-8091-01A-11R-2241-07",200,464,1640,540,3805,166,3976,11011,3214,1312,37480,3161,1103,10071,2025,138,158,323,1623,2767,2413,3176,300,72,16459,150,226,19628,724,999,8371,2880,2604,4102
"TCGA-55-1592-01A-01R-0946-07",1180,1418,967,4683,7112,575,3568,7437,4151,2012,22376,1522,2100,8818,2428,1894,19,916,2470,4645,1640,4707,859,28,15450,633,228,28583,1055,1599,13084,4710,6753,4817
"TCGA-73-4670-01A-01R-1206-07",766,1121,797,2068,5843,647,2022,16498,9006,3062,20612,985,3481,16342,1831,1109,1519,1156,5580,9220,8127,5124,435,31,9534,528,272,30870,1123,7939,9425,4187,7014,7674
"TCGA-55-1594-01A-01R-0946-07",761,1349,420,2072,5459,370,2774,5177,4340,3247,17045,701,3238,2198,1399,510,29,565,4441,8616,3876,5043,514,681,6456,553,298,19305,1382,2450,8819,3507,9260,4475
"TCGA-44-6147-11A-01R-1858-07",119,208,1446,548,3216,70,1172,14090,1290,1030,6427,4017,1551,38373,2308,62,98,161,237,1070,12274,2887,3399,49,13001,109,81,31299,794,512,2941,4293,2081,2121
"TCGA-44-6147-01A-11R-1755-07",141,444,1124,346,3919,179,1214,5814,3007,1009,14536,2248,549,4195,2000,165,268,691,469,1638,2046,1834,1270,317,8492,66,166,17322,332,501,5578,3227,3210,2884
"TCGA-50-5932-11A-01R-1755-07",32,312,1189,219,3137,11,1204,11517,2359,295,5627,2459,441,4834,1522,12,31,107,96,780,1717,2033,2323,48,8027,25,15,11358,279,128,2585,2747,1948,1403
"TCGA-44-6147-01B-06R-A277-07",21,778,1761,34,3646,29,3151,3596,1991,711,10905,5387,350,731,269,108,4,698,64,97,493,2387,996,66,5712,12,92,5865,244,307,2307,1155,318,384
"TCGA-55-6979-11A-01R-1949-07",30,183,1157,329,1909,29,898,3177,1485,332,13005,2478,374,6701,1733,16,38,99,106,623,3917,1180,1188,41,5070,23,11,8614,180,149,2865,1771,1867,1081
"TCGA-55-8621-01A-11R-2403-07",182,436,1346,612,3284,127,1175,15793,2984,713,23486,2556,704,4049,2990,187,116,357,834,1807,1420,2065,1414,84,9533,95,75,14631,439,605,7633,3982,3569,2919
"TCGA-50-5051-01A-21R-1858-07",151,184,223,421,1156,56,484,3891,1006,718,2446,709,706,2682,445,179,7,585,3181,1603,1311,1145,315,174,2635,201,44,9284,374,1365,3269,2019,2068,2808
"TCGA-49-4501-01A-01R-1206-07",308,686,1444,435,6402,323,765,13630,6157,1526,21348,2375,1117,17131,3192,163,22,681,1731,3994,2253,2874,2785,859,10546,85,83,32566,1371,1202,6062,6148,8276,4428
"TCGA-J2-8194-01A-11R-2241-07",107,530,1821,243,5500,95,791,10205,2693,4253,16501,1253,938,18834,1265,102,23,1867,561,2834,3395,3261,1253,169,13416,135,60,36634,1352,388,8572,3815,5110,3569
"TCGA-44-3917-01A-01R-A278-07",167,1105,1040,346,2248,155,7328,4771,2064,905,12903,509,674,2037,376,369,14,1953,4368,2749,2801,2570,118,8,3195,350,43,12553,876,3967,4279,1459,1155,2482
"TCGA-44-8119-01A-11R-2241-07",1343,2284,1646,5459,8590,458,2785,63030,9352,2503,23271,2076,3103,11958,2206,2390,67,1544,5900,5998,4509,6310,700,275,13501,495,353,50422,1385,3290,9165,8709,4190,5116
"TCGA-55-8203-01A-11R-2241-07",674,753,1385,1463,5704,290,881,35381,6421,2891,32331,3227,1621,9416,1813,545,13,1284,2968,3738,1043,3340,2467,336,9741,416,128,24623,836,1965,10131,5321,6867,4848
"TCGA-97-8177-01A-11R-2287-07",99,727,1075,763,4485,264,611,6247,3848,1184,14825,1554,1040,12338,2737,201,44,430,1131,6301,1898,3165,596,718,8663,84,77,24129,821,1390,9750,3961,3811,4237
"TCGA-55-7573-01A-11R-2039-07",102,350,922,152,4674,37,559,9705,2542,828,15086,2544,682,1137,1611,91,44,201,323,1017,914,1229,685,220,10540,33,34,14414,363,245,6295,2442,2176,1991
"TCGA-55-8089-01A-11R-2241-07",561,1175,3606,1242,8117,1174,4963,21253,5444,1541,102690,4204,1908,6156,5696,530,17,304,3732,3042,4332,4235,3159,2314,14525,695,1076,24580,1089,4081,14005,4594,4496,8125
"TCGA-38-4630-01A-01R-1206-07",3130,1202,708,12896,3237,18627,1029,3817,4742,7006,80914,690,4215,4527,4747,3350,1886,1666,9010,12377,25187,5415,3600,11277,12973,1297,1799,36694,2892,8845,20415,6621,8857,5878
"TCGA-78-7166-01A-12R-2066-07",467,562,555,1000,1310,434,867,13170,2201,1652,13823,938,799,9099,673,542,12,348,3521,626,1216,1516,508,414,5505,401,143,8753,643,2865,5075,1842,5576,3485
"TCGA-38-4631-01A-01R-1755-07",230,385,238,1902,745,854,953,1188,2474,577,11807,124,1830,1894,441,324,16,546,3199,4202,1372,1308,247,1110,2987,439,386,6050,1326,2630,2801,1118,4525,2660
"TCGA-49-6742-01A-11R-1858-07",421,300,337,396,1466,335,616,3386,2032,1033,13528,635,716,2595,655,386,6,230,2753,1250,1570,1563,265,9,7414,253,152,12916,684,1195,3851,1366,4392,1921
"TCGA-55-1596-01A-01R-0946-07",569,489,263,2322,2174,375,979,5308,2339,1164,24713,369,1575,1360,416,499,18,677,2484,4533,977,1468,498,678,4282,335,249,37159,660,3278,5191,2941,6269,3634
"TCGA-55-6978-01A-11R-1949-07",541,1668,3922,1481,3957,449,4579,33401,6927,3896,81944,3169,2356,6887,3740,1047,108,794,4328,3973,5411,3858,2705,1633,15171,1288,1556,16235,793,5047,17384,4795,5079,4609
"TCGA-91-A4BD-01A-11R-A24H-07",59,191,390,248,931,99,150,4509,2232,294,6722,410,385,2290,1312,76,84,171,529,759,798,771,551,441,3497,85,17,4734,278,380,3300,1043,1545,1556
