"","ENSG00000007968.7","ENSG00000080839.12","ENSG00000096968.14","ENSG00000101412.13","ENSG00000103479.16","ENSG00000105173.14","ENSG00000105810.10","ENSG00000110092.4","ENSG00000111276.11","ENSG00000112242.15","ENSG00000115415.20","ENSG00000118971.9","ENSG00000123374.11","ENSG00000124762.14","ENSG00000126561.17","ENSG00000129173.13","ENSG00000133101.10","ENSG00000133740.11","ENSG00000134057.15","ENSG00000135446.17","ENSG00000136997.21","ENSG00000139687.16","ENSG00000147883.12","ENSG00000147889.18","ENSG00000162434.13","ENSG00000164045.12","ENSG00000165891.16","ENSG00000168610.16","ENSG00000169016.17","ENSG00000170312.16","ENSG00000170581.14","ENSG00000173757.10","ENSG00000197122.12","ENSG00000205250.9"
"TCGA-91-6836-11A-01R-1858-07",16,255,1075,174,3023,23,918,5281,2198,355,5932,1481,433,3912,1878,13,47,117,107,874,1082,1630,1845,47,7609,7,8,10592,265,124,3337,2526,1962,1460
"TCGA-95-7562-01A-11R-2241-07",1822,1969,996,6644,1990,1396,4123,3075,4093,3215,35282,1223,2405,13188,1326,1357,46,1336,4147,4369,4341,1145,1524,2909,14479,1467,937,38908,760,5490,2810,2634,2292,2321
"TCGA-55-8511-01A-11R-2403-07",483,257,946,1121,3361,364,2331,6599,2406,1369,13945,1035,657,6257,1478,283,22,169,2121,1987,4435,1154,1980,981,9542,400,132,18833,371,1497,5141,2124,2651,4362
"TCGA-44-6776-11A-01R-1858-07",16,280,1389,195,3798,15,962,7389,2219,197,6337,2474,670,4379,1344,19,45,128,109,820,2048,2221,2355,52,8201,13,17,13371,266,155,3482,2887,1788,1556
"TCGA-91-6836-01A-21R-1858-07",1748,1728,502,2296,1934,455,329,38291,3378,4077,21752,654,3506,3318,832,745,36,530,6957,6446,5766,1628,226,404,6764,956,128,18354,1395,4370,5595,2095,6563,3544
"TCGA-95-7948-01A-11R-2187-07",361,777,481,1638,5841,302,155,15635,5192,836,10957,5159,1140,15735,1249,149,21,1831,1116,4429,5349,1878,196,91,6685,171,70,13375,1056,612,11098,2392,4682,5862
"TCGA-50-5935-01A-11R-1755-07",61,395,661,376,2863,111,398,4517,1458,466,14038,904,605,3614,1249,53,8,286,611,1704,692,1053,333,58,5272,29,32,14842,378,358,4060,3466,2938,2391
"TCGA-91-7771-01A-11R-2170-07",133,545,1560,351,3315,64,1526,7515,2526,1012,20214,4175,754,1993,1520,100,9,571,837,1825,1736,3497,870,336,7577,68,64,15283,427,683,6247,3161,5633,1697
"TCGA-50-5944-01A-11R-1755-07",114,434,607,339,2886,59,1037,9571,2301,1160,8642,920,664,1606,959,189,12,220,234,1675,1000,1416,164,14,8841,84,45,14980,508,543,4409,2233,1599,1312
"TCGA-MN-A4N5-01A-11R-A24X-07",620,585,952,1557,2859,394,1152,12526,2646,2619,32319,1562,933,4652,1744,485,17,943,2123,38314,3367,2976,1067,2208,8475,478,91,22369,776,1292,11481,3181,4048,7083
"TCGA-73-4677-01A-01R-1206-07",79,442,1608,610,9601,51,1500,16351,3923,2096,16194,1521,895,26622,1431,65,57,1368,1049,2489,2477,5058,1113,817,12311,99,25,43634,1160,644,5591,5206,5822,3310
"TCGA-78-7540-01A-11R-2066-07",116,261,1314,567,3757,121,2712,13834,2978,996,9493,1183,928,12331,2742,146,22,263,893,1344,721,4723,856,11,13496,181,131,16074,626,519,6681,3837,15868,3473
"TCGA-91-6829-01A-21R-1858-07",229,942,614,744,2696,426,2350,7300,3216,2730,12712,1179,1216,5324,1375,315,2,415,1410,2308,920,1139,3102,2080,9739,240,292,22075,1137,1386,5906,2831,3934,1716
"TCGA-78-8640-01A-11R-2403-07",970,515,339,1685,1765,689,2923,4506,2987,1752,11200,566,1244,2231,681,427,1,657,1253,3189,2041,1693,1766,2566,8340,426,125,13878,851,1422,3459,2078,2563,4271
"TCGA-62-8398-01A-11R-2326-07",438,809,1013,788,5787,634,2313,10912,5708,2256,22075,859,1509,11533,1661,1053,0,568,3286,3705,3658,2319,672,22,10526,687,452,15804,674,4580,10611,3373,11389,7077
"TCGA-55-8512-01A-11R-2403-07",104,171,748,209,6378,42,1561,12767,2407,630,5994,2568,571,7508,1379,228,224,371,367,1441,3140,1837,416,171,6011,75,119,15423,403,227,5694,3018,2133,3345
"TCGA-83-5908-01A-21R-2287-07",611,2312,3014,2260,3520,1254,8861,50523,2709,2811,102331,2115,2576,8477,3475,820,45,459,5015,5199,6333,2286,1519,2020,15775,876,1165,15676,794,4717,14832,4964,4509,7727
"TCGA-55-6987-01A-11R-1949-07",987,1114,2952,1453,4618,455,3616,9018,7935,2445,59710,6857,1629,7987,4776,697,52,980,3098,3380,14016,4188,812,115,16353,695,201,28613,832,2230,11759,5697,2841,4840
"TCGA-93-A4JP-01A-11R-A24X-07",610,1066,1735,2812,3835,872,2194,7786,4557,2184,13729,2758,1036,4500,3563,494,38,460,786,1475,2113,2172,2777,479,8927,305,158,17814,510,963,9027,4956,4793,2914
"TCGA-73-A9RS-01A-11R-A41B-07",148,203,287,550,1057,259,715,3312,2768,642,11211,222,776,2158,331,465,4,188,1756,1368,132,1263,323,1292,3681,213,956,5500,498,2090,5273,837,1133,1053
"TCGA-L4-A4E5-01A-11R-A24X-07",866,707,470,2136,1696,461,365,10911,5110,2423,10992,787,2251,8765,1042,561,10,451,2453,3580,1708,824,2101,2939,6419,382,307,14455,1015,2690,18689,2639,3928,3154
"TCGA-55-6982-01A-11R-1949-07",63,374,490,319,1278,99,516,7598,1181,806,14419,968,397,3615,865,186,182,202,877,12155,1065,1162,662,722,4873,75,139,11489,329,744,5214,1319,2799,2286
"TCGA-50-5066-02A-11R-2090-07",752,2644,1608,3173,7445,894,7805,35536,7066,4907,55942,6475,3417,11514,3538,2487,72,2584,6889,4584,9644,2385,5396,5089,19358,905,737,33084,2199,4122,18874,7278,12278,6774
"TCGA-91-6835-01A-11R-1858-07",332,1384,1883,961,5469,660,1556,2265,3837,2486,30973,2295,1350,9098,3546,287,53,373,1452,2176,2133,2338,1016,753,12623,170,191,32161,683,837,8534,5584,3770,2761
"TCGA-44-2656-01A-02R-A278-07",244,1320,4017,265,6807,93,2948,15769,5024,1250,88112,4224,1139,1919,1399,330,173,960,2550,3392,6420,3647,1168,194,18462,316,89,15549,918,2640,12734,3823,1722,1995
"TCGA-86-8074-01A-11R-2241-07",482,2546,1801,2257,7417,2207,2094,4480,3632,4520,40822,2305,2269,25195,2389,1367,48,545,4510,4775,5231,2486,5466,4763,18336,658,589,30888,1254,3335,14130,4105,8141,5899
"TCGA-86-8358-01A-11R-2326-07",2235,618,507,2777,1077,699,469,806,2251,2685,13239,519,2219,4682,736,1193,157,410,4858,2352,3796,877,501,1462,4119,657,679,7828,880,5616,4010,3561,2264,2751
"TCGA-78-7158-01A-11R-2039-07",253,521,686,593,4328,99,341,20943,4062,1970,9637,1918,1187,973,1546,793,6,1120,1276,4004,20923,2758,901,548,10976,313,95,16086,580,1001,5751,3705,7436,2927
"TCGA-91-8497-01A-11R-2403-07",136,329,969,249,3274,49,811,4294,3007,512,5371,3185,485,2376,2118,56,26,249,286,1472,1244,1259,426,240,8081,41,20,12974,324,175,4263,3207,2544,2392
"TCGA-49-6761-01A-31R-1949-07",290,557,449,483,780,131,355,11357,973,1569,17536,1119,641,8226,1313,159,139,568,2463,1861,4079,1386,330,171,3421,118,15,5531,338,697,3605,1135,2694,1783
"TCGA-49-AARO-01A-12R-A41B-07",218,527,768,861,2016,354,1215,8932,1764,983,7726,2126,1787,6338,1915,198,143,275,858,8769,1751,1086,1180,1218,6198,239,100,8697,553,1011,12262,2459,4127,3360
"TCGA-78-7159-01A-11R-2039-07",382,909,615,1176,2609,291,785,13773,3014,1637,9470,1586,1177,3396,653,271,67,1308,2178,2194,712,3364,393,69,5410,233,304,23954,619,1756,4694,3416,3749,2328
"TCGA-55-7227-01A-11R-2039-07",248,384,977,450,2839,127,762,25602,2319,646,16829,1828,663,3985,1596,154,30,425,1062,1380,2389,2174,1587,1000,9263,163,67,13604,318,1035,4001,2441,2754,2391
"TCGA-86-7714-01A-12R-2170-07",68,272,646,100,2460,40,377,7275,2105,419,7042,825,416,3574,935,198,9,142,321,882,833,1582,1385,269,5606,41,89,10849,214,412,3308,1112,2999,1028
"TCGA-L9-A7SV-01A-11R-A39D-07",758,811,502,2955,2239,242,218,3460,2107,1728,10896,579,1661,916,2397,489,7,687,1908,3729,1124,2074,2325,136,7608,288,291,13459,783,4249,18348,6515,4136,2871
"TCGA-78-7143-01A-11R-2039-07",751,1741,840,3442,2321,1064,371,5237,4367,2278,12281,1069,3463,10349,1546,903,14,641,3405,2109,1244,997,1779,3355,7761,431,485,18067,957,2625,9226,2737,4468,2062
"TCGA-91-8499-01A-11R-2403-07",317,1194,336,2616,1362,438,1602,519,6222,2950,11440,133,3208,2237,566,501,16,451,4819,8045,11378,775,191,2776,2960,570,488,6717,718,1726,3381,2555,1712,2305
